code,city,reg_voters,num_envelopes,num_valid_votes,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká národní fronta,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
568741,Albrechtičky,559,358,355,106,2,1,0,0,23,47,1,36,1,2,1,1,0,1,12,0,1,3,33,22,0,39,23,0,0
599212,Bartošovice,1341,735,734,281,0,0,1,2,104,23,0,39,1,2,2,0,3,2,6,2,9,13,140,7,0,38,56,0,3
568481,Bernartice nad Odrou,779,547,542,163,1,0,0,0,21,110,6,70,6,2,1,1,0,0,18,0,4,12,43,11,0,47,25,0,1
546984,Bílov,442,264,264,103,1,0,0,0,42,10,0,16,2,2,0,0,1,2,3,0,3,3,41,2,0,20,13,0,0
599247,Bílovec,6025,3496,3475,1192,2,3,6,11,280,194,1,301,20,25,4,2,11,7,85,15,39,36,458,127,2,375,277,0,2
554936,Bítov,357,254,249,100,0,0,0,0,20,14,0,12,2,5,1,0,1,0,7,2,5,2,14,8,0,14,42,0,0
568431,Bordovice,478,332,332,123,0,0,0,1,31,23,0,28,3,5,3,0,1,0,9,1,9,4,41,8,0,17,25,0,0
556858,Bravantice,724,385,384,130,0,0,0,0,37,28,1,20,0,6,0,0,9,2,10,3,6,10,70,6,0,18,25,0,3
599344,Frenštát pod Radhoštěm,8862,5208,5176,1742,10,5,7,2,340,327,7,604,34,38,5,5,22,9,107,12,82,65,621,140,0,574,415,1,2
599352,Fulnek,4658,2604,2586,903,1,1,3,9,243,250,5,190,22,29,3,3,1,5,48,5,19,36,295,51,0,227,234,0,3
568562,Heřmanice u Oder,266,184,184,53,0,0,0,1,13,20,0,8,1,2,2,0,0,0,3,0,0,0,38,3,0,23,16,0,1
568571,Heřmánky,142,83,82,23,0,0,0,0,13,1,0,13,0,3,0,0,3,0,2,0,0,0,8,1,0,8,7,0,0
569666,Hladké Životice,779,482,480,209,0,0,2,0,30,39,1,21,6,3,0,1,1,2,9,1,4,4,59,10,0,47,31,0,0
599409,Hodslavice,1401,894,888,238,0,0,1,1,49,87,0,112,8,9,1,1,1,2,34,1,15,20,124,17,0,91,76,0,0
568511,Hostašovice,624,462,461,152,0,1,0,0,29,55,0,43,2,1,0,0,1,0,20,0,8,8,55,8,0,34,44,0,0
554065,Jakubčovice nad Odrou,541,326,325,107,1,1,1,0,21,19,0,23,0,4,3,0,1,0,10,2,6,4,55,4,0,36,27,0,0
599468,Jeseník nad Odrou,1609,961,955,325,4,1,2,0,82,102,3,71,5,6,0,0,3,1,33,4,21,8,130,11,0,82,61,0,0
599506,Jistebník,1261,791,789,262,1,0,5,2,110,19,0,77,8,9,1,1,2,1,11,3,9,8,94,25,0,73,68,0,0
